"Date","Company","Close","MA7","MA30","Tariff_Period"
2025-06-27,"JFC",228.6,224.914285714286,232.213333333333,"After"
2025-06-27,"URC",90,87.1714285714286,86.6283333333333,"After"
2025-06-27,"CNPF",40,40.1714285714286,39.9983333333333,"After"
2025-06-27,"GSMI",285,290.628571428571,292.933233333333,"After"
2025-06-27,"MONDE",7.31,7.22571428571429,7.097,"After"
2025-06-30,"JFC",216,223.257142857143,231.246666666667,"After"
2025-06-30,"URC",89.55,87.6785714285714,86.5483333333333,"After"
2025-06-30,"CNPF",40.25,40.1928571428571,40,"After"
2025-06-30,"GSMI",290,289.971428571429,292.816616666667,"After"
2025-06-30,"MONDE",7.4,7.26857142857143,7.108,"After"
2025-07-01,"JFC",225,222.971428571429,230.58,"After"
2025-07-01,"URC",89.2,88.1071428571429,86.4883333333333,"After"
2025-07-01,"CNPF",40.6,40.2428571428571,40,"After"
2025-07-01,"GSMI",280,289.142857142857,292.366666666667,"After"
2025-07-01,"MONDE",7.28,7.27428571428571,7.11566666666667,"After"
